title,price,rating,oprice,brand
"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls  ",449,3.1,₹449,MARVIK
Fusion Multifunction Analog Brown Dial Men's Watch-TWEG18903  ,"2,878",4.2,"₹2,878",TIMEX
VMBS A1 Smart Watch Mobile Inbuild Camera Supporting 4G/5G Sim Smartwatch for Phone  ,990,2.5,₹990,VMBS
"Fire-Boltt Ring 3 Smart Watch 1.8"" Biggest Display Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring  ","1,999",4.2,"₹1,999",Fire-Boltt
Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sport's Watches for Men's Kids Watch for Boys - Watches for Men  ,275,3.8,₹275,Acnos
"Noise ColorFit Ultra Buzz Bluetooth Calling Smart Watch with 1.75"" HD Display, 320x385 px Resolution, 100 Sports Modes, Stock Market Info Smartwatch for Men & Women (Champagne Grey)  ","1,999",4.1,"₹1,999",Noise
Lapster USB all types smartwatch charger cable for boat watch charger & boat xtend watch charger & boat storm watch charger- All 2 Pin Watch (Cable Only)  ,113,3.4,₹113,LS LAPSTER Quality Assured
LED Digital Watch Good Looking Black Watch for Boys & Girls (Black Color)  ,95,2.9,₹95,Generic
i8 Pro Max Touch Screen Bluetooth Smartwatch with Activity Tracker Compatible with All 3G/4G/5G Android & iOS Smartphones - Black  ,919,2.9,₹919,Generic
Multi Functional Sports Digital Multicolor Dial Men's Watch  ,199,3.6,₹199,ASGARD
"NoiseFit Force Rugged Round Dial Bluetooth Calling Smart Watch with 1.32"" HD screen, Functional Crown, 550 NITS, 7 days battery, AI Voice Assistance, 200+ Watch Faces, Heart Rate Tracker- (Teal Green)  ",,4.0,,Noise
Analog Men's Watch ( Dial Blue Colored Strap)  ,"2,695",4.1,"₹2,695",CURREN
"Redmi Watch 2 Lite - 3.94 cm Large HD Edge Display, Multi-System Standalone GPS, Continuous SpO2, Stress & Sleep Monitoring, 24x7 HR, 5ATM, 120+ Watch Faces, 100+ Sports Modes, Women's Health, Blue  ","2,499",3.9,"₹2,499",Redmi
Digital Boy's Watch (Red Dial Black Colored Strap)  ,218,3.7,₹218,SELLORIA
"Waterproof D20 Touchscreen Smart Watch Bluetooth Smartwatch with Blood Pressure Tracking, Heart Rate Sensor and Basic Functionality for All Women and Men  ",332,2.5,₹332,Generic
Analog Silver Dial Men's Watch-TW0TG6502  ,"1,747",4.3,"₹1,747",TIMEX
"Digital 24 Images Projector Watch for Kids Boys Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906  ",289,4.1,₹289,ADAMO
LED Digital Sports Multi Functional Black Dial Watch for Mens Boys -W1257  ,449,3.4,₹449,Shocknshop
New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control  ,"1,694",3.9,"₹1,694",Fastrack
Black Dial Analogue Watch for Men Pack of 1 (FULLBLKPAYDU)  ,265,3.6,₹265,Acnos
Venus Digital Grey Dial Men's Watch-NL7982PP01/NM7982PP01  ,499,4.1,₹499,SF
"Watch City Brand Analogue Watch Waterproof Sport Look 7 Color Silicone Strap Watch Multicolor Waterproof Sport Watch for Men's Kids, Boys, Men  ",335,3.8,₹335,
"Fire-Boltt Astro 1.78"" AMOLED Display Smartwatch, Always On Display, Bluetooth Calling with AI Voice, 110+ Sports Modes, Rotating Button Technology, High Resolution of 368 * 448 Pixels  ","2,999",4.1,"₹2,999",Fire-Boltt
Analog Men's Watch (Dial Colored Strap)  ,"4,459",4.4,"₹4,459",Titan
Analogue Watch for Men and Boys  ,249,3.6,₹249,SWADESI STUFF
"Hammer Pulse Ace Pro Bluetooth Calling Smartwatch with SpO2 & 1.81” Aluminium Alloy Body with Blood Oxygen Monitoring, Heart Rate, Full Touch & Multiple Watch Faces with Customization (Black)  ","1,798",3.8,"₹1,798",Hammer
Watch: A Novel  ,939.,4.6,₹939.86,Keith Buckley
"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)  ","1,099",3.9,"₹1,099",SENS
Analog White Dial Men's Watch-HB611251ABR  ,"7,440",4.1,"₹7,440",Mathey-Tissot
"New LED Watch for Boys, Girls and Kids Digital Black Dial Led Watch for Kids Unisex Birthday Gift Digital Watch  ",100,3.9,₹100,BITZAG
"Kids Sports Digital Watch, Multi Function Digital Kids Watches Waterproof LED Light Wristwatches for Boys Girls - 1451  ",840,4.2,₹840,SKMEI
Classics Analog White Dial Women's Watch-B300  ,625,4.2,₹625,TIMEX
Analogue Men's Watch (Black Dial Black Colored Strap)  ,249,3.7,₹249,JAGER
"CrossBeats Ignite GRIT Smart Watch, 1.83 AMOLED Display with Advanced Bluetooth Calling, Rotating Crown,AI Health Sensors, 150+ Sports Modes, 250+Watch Faces, in-Built Games, 15 Days Battery-Black  ","2,999",4.3,"₹2,999",CrossBeats
Multi Function Day and Date Alarm Kids Digital Sports Watch for Boys & Girls  ,339,3.6,₹339,SWADESI STUFF
Analogue Men's Watch (Silver Dial Silver Colored Strap)  ,322,3.9,₹322,AUREX
Analog Black Dial Men's Watch-TI000R41500  ,"1,208",4.0,"₹1,208",TIMEX
"Samsung Galaxy Watch4 LTE (4.4 cm, Black, Compatible with Android only)  ","18,999",4.3,"₹18,999",Samsung
"Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, GPS, NFC, Wellness Features and Smartphone Notifications  ","14,794",3.9,"₹14,794",Fossil
Brishti Super-Hero Multicolored Glowing Light Digital Wrist Watch for Kid's (Best Return Gift for Boy's)  ,299,3.8,₹299,Brishti
"CrossBeats Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, Calculator, 500+ Watch Faces, 360 Degree Health Tracking, Fast Charge (Silver)  ","4,999",4.1,"₹4,999",CrossBeats
Luxury Analog Men's Watch (Black Dial Black Colored Strap)  ,649,3.6,₹649,LORENZ
"CrossBeats Newly launched Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature (Black)  ","4,999",4.1,"₹4,999",CrossBeats
Analog Multi-Colour Dial Children's Watch-NLC3030PP05/NPC3030PP05W  ,845,4.3,₹845,Zoop
"Apple Watch SE (2nd Gen) [GPS 40 mm] Smart Watch w/Midnight Aluminium Case & Midnight Sport Band. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display, Water Resistant  ","29,400",4.6,"₹29,400",Apple
NOVA Skeleton Automatic Watch Mechanical Wrist Watch for Men Bezel Screw Design Silicone Band Self-Wind Business Watch for Men  ,"3,490",4.2,"₹3,490",ALTURA
"boAt Blaze Smart Watch with 1.75” HD Display, Fast Charge, Apollo 3 Blue Plus Processor, 24x7 Heart Rate & SpO2 Monitor, Multiple Watch Faces, Multiple Sports Modes & 7 Days Battery Life(Deep Blue)  ","1,499",3.8,"₹1,499",boAt
Boy's Avenger Printed Analog Watch and King Bracelet Combo (Black)  ,249,3.6,₹249,CERO
Beyond Gold Analog Black Dial Men's Watch-NN77031KM03/NP77031KM03  ,"2,085",4.3,"₹2,085",Sonata
Analogue White Slim Dial Luxurious Blue/Red Fabric Strap Fashion Men's Wrist Watch  ,269,3.7,₹269,FRIEDRICH
Analog Champagne Dial Women's Watch-NL87018YM01/NP87018YM01  ,825,4.2,₹825,Sonata
Black dial-case and Black Leather Watch for Men Pack of - 1  ,245,3.4,₹245,Acnos
Fastrack Reflex Hello Smart Watch with BT Calling|Bright HD Display|AI Voice Assistant|50+ Sports Modes|100+ Watchfaces|BP Monitor|24x7 HRM| SpO2|Upto 5 Day Battery|Camera & Music Control|IP68  ,"3,994",3.8,"₹3,994",Fastrack
Bikers Analog White Dial Men's Watch-NL3022SL01/NP3022SL01  ,"3,595",4.2,"₹3,595",Fastrack
Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W  ,799,4.3,₹799,Sonata
Chronograph Design Multi Analog Combo Watches for Men and Watches for Boys Pack of 3  ,355,3.5,₹355,Acnos
Classics Analog White Dial Men's Watch-A300  ,618,4.2,₹618,TIMEX
Analog Black Dial Men's Watch-CUR007  ,,3.8,,CURREN
Analog Black Dial Men's Watch NM7987YL03W/NN7987YL03W  ,649,4.1,₹649,Sonata
Shhors Collection Quartz Movement Digital Black Dial Sports Alarm Unisex Watch  ,283,4.1,₹283,Primeshop
Riley Analog Rose Gold Dial Women's Watch - ES2811  ,"10,995",4.2,"₹10,995",Fossil
Analog Women's Watch  ,"1,354",4.3,"₹1,354",Fastrack
"APCSA Original New Series 7 D20 Bluetooth Wireless Smart Watch, Fitness Band for Boys, Girls, Men, Women & Kids | Sports Watch for All Smart Phones I Heart Rate and BP Monitor ( Pink )  ",498,3.0,₹498,APCSA
Zaha New Generation Digital Square Watch for Boys & Girls & Kids (Red)  ,139,5.0,₹139,Generic
Analog White Dial Men's Watch-NL1585SL07  ,"1,995",4.3,"₹1,995",Titan
Sporty Digital Grey Dial Men's Watch-NL77043PP02/NP77043PP02  ,549,4.0,₹549,SF
Analog-Digital Gold Round Dial Men's Casual Watch-77070PP08  ,"2,899",3.7,"₹2,899",SF
Reflex Vox Smartwatch|Alexa Built-in|Bright HD Display|Upto 10 Days Battery|5 ATM Water Resistance|Multiple Sports Modes|100+ Watchfaces|24x7 HRM|Sp02|Stress Monitor|Camera & Music Control  ,"1,994",3.9,"₹1,994",Fastrack
Chronograph Men's Watch (Black Dial)  ,"12,995",4.3,"₹12,995",Armani Exchange
"DIZO Watch D2 Power (by realme TechLife) – Large 1.91"" Superlight, Single Chipset Bluetooth Calling Smartwatch with Smart Swipe, 150+Stylish Watch Faces and 10 Day Battery (Steel Grey)  ","1,799",3.7,"₹1,799",DIZO
